ticker,crsp_fundno,caldt,dnav,dret
SSO,25653,20150327,128.5,0.005005
SSO,25653,20150122,128.66,0.030352
SSO,25653,20150220,134.88,0.012461
SSO,25653,20140227,103.26,0.010372
SSO,25653,20150316,131.31,0.027063
SSO,25653,20141218,128.75,0.048538
SSO,25653,20150206,127.74,-0.006378
SSO,25653,20150429,134.34,-0.007609
SSO,25653,20140529,111.03,0.010926
SSO,25653,20140422,106.07,0.008366
SSO,25653,20150629,64.22,-0.041779
SSO,25653,20140925,116.9,-0.032445
SSO,25653,20150825,52.89,-0.026505
SSO,25653,20150908,58.62,0.050349
SSO,25653,20150521,68.89,0.005107
SSO,25653,20140826,120.86,0.001907
SSO,25653,20151030,65.32,-0.009553
SSO,25653,20150707,65.74,0.012163
SSO,25653,20160114,55.66,0.033228
SSO,25653,20160122,54.76,0.040669
SSO,25653,20150805,66.95,0.006918
SSO,25653,20150923,56.82,-0.004032
SSO,25653,20160613,65.29,-0.015679
SSO,25653,20160302,59.42,0.008315
SSO,25653,20160517,63.19,-0.018332
SSO,25653,20160926,69.57,-0.016956
SSO,25653,20160921,70.68,0.021967
SSO,25653,20160812,72,-0.001664
SSO,25653,20170124,78.8,0.012984
SSO,25653,20170620,90.53,-0.013512
SSO,25653,20180618,116.03,-0.004376
SSO,25653,20171107,102.32,-0.000684
SSO,25653,20171205,105.65,-0.007422
SSO,25653,20171201,106.68,-0.004108
SSO,25653,20180412,107.11,0.016417
SSO,25653,20180123,122.91,0.004249
SSO,25653,20180207,109.3,-0.010233
SSO,25653,20180214,110.59,0.027311
SSO,25653,20171006,99.16,-0.001711
SSO,25653,20180326,106.89,0.054246
SSO,25653,20170817,90.06,-0.030988
SSO,25653,20170830,92.16,0.00953
SSO,25653,20180710,117.43,0.006859
SSO,25653,20170807,93.76,0.00321
SSO,25653,20170719,93.22,0.010734
SSO,25653,20180808,122.65,-0.000652
SSO,25653,20170629,89.14,-0.017308
SSO,25653,20170612,89.93,-0.001776
SSO,25653,20170501,86.7,0.003705
SSO,25653,20131104,93.38,0.007227
SSO,25653,20131114,95.97,0.010317
SSO,25653,20170614,90.6,-0.002093
SSO,25653,20131126,97.33,0.000103
SSO,25653,20131209,98.05,0.003993
SSO,25653,20170222,84.8,-0.002001
SSO,25653,20160628,62.43,0.036011
SSO,25653,20160727,70.73,-0.002398
SSO,25653,20161123,73.61,0.001497
SSO,25653,20160914,68.33,-0.001023
SSO,25653,20161102,66.53,-0.012762
SSO,25653,20160315,61.26,-0.00374
